year,adult_movies,non_adult_movies,total_movies
2028,0.0,1.0,1
2027,0.0,1.0,1
2026,0.0,2.0,2
2025,0.0,7.0,7
2024,0.0,12.0,12
2023,0.0,124.0,124
2022,1.0,1089.0,1090
2021,0.0,1008.0,1008
2020,0.0,737.0,737
2019,0.0,874.0,874
2018,1.0,769.0,770
2017,0.0,742.0,742
2016,0.0,678.0,678
2015,0.0,556.0,556
2014,1.0,551.0,552
2013,0.0,489.0,489
2012,0.0,453.0,453
2011,1.0,415.0,416
2010,0.0,372.0,372
2009,0.0,435.0,435
2008,0.0,397.0,397
2007,0.0,364.0,364
2006,0.0,352.0,352
2005,1.0,306.0,307
2004,0.0,312.0,312
2003,1.0,291.0,292
2002,1.0,302.0,303
2001,0.0,290.0,290
2000,0.0,261.0,261
1999,0.0,282.0,282
1998,0.0,265.0,265
1997,0.0,285.0,285
1996,0.0,276.0,276
1995,1.0,293.0,294
1994,0.0,277.0,277
1993,0.0,262.0,262
1992,0.0,232.0,232
1991,0.0,250.0,250
1990,0.0,239.0,239
1989,0.0,260.0,260
1988,0.0,267.0,267
1987,1.0,273.0,274
1986,0.0,211.0,211
1985,0.0,209.0,209
1984,0.0,183.0,183
1983,0.0,158.0,158
1982,0.0,168.0,168
1981,0.0,177.0,177
1980,0.0,155.0,155
1979,0.0,155.0,155
1978,0.0,141.0,141
1977,0.0,137.0,137
1976,1.0,145.0,146
1975,0.0,137.0,137
1974,1.0,154.0,155
1973,0.0,154.0,154
1972,0.0,146.0,146
1971,0.0,159.0,159
1970,0.0,117.0,117
1969,1.0,122.0,123
1968,0.0,118.0,118
1967,0.0,103.0,103
1966,0.0,122.0,122
1965,0.0,90.0,90
1964,1.0,100.0,101
1963,0.0,76.0,76
1962,0.0,85.0,85
1961,0.0,72.0,72
1960,0.0,78.0,78
1959,0.0,93.0,93
1958,0.0,116.0,116
1957,0.0,119.0,119
1956,0.0,88.0,88
1955,0.0,115.0,115
1954,0.0,98.0,98
1953,0.0,93.0,93
1952,0.0,75.0,75
1951,0.0,82.0,82
1950,0.0,76.0,76
1949,0.0,74.0,74
1948,0.0,63.0,63
1947,1.0,70.0,71
1946,0.0,50.0,50
1945,0.0,48.0,48
1944,0.0,44.0,44
1943,0.0,34.0,34
1942,0.0,51.0,51
1941,0.0,54.0,54
1940,0.0,42.0,42
1939,0.0,54.0,54
1938,0.0,24.0,24
1937,0.0,41.0,41
1936,0.0,32.0,32
1935,0.0,25.0,25
1934,0.0,28.0,28
1933,0.0,24.0,24
1932,0.0,27.0,27
1931,0.0,21.0,21
1930,0.0,15.0,15
1929,0.0,9.0,9
1928,0.0,6.0,6
1927,0.0,6.0,6
1926,0.0,5.0,5
1925,0.0,4.0,4
1924,0.0,6.0,6
1923,0.0,3.0,3
1922,0.0,1.0,1
1921,0.0,3.0,3
1920,0.0,1.0,1
1919,0.0,2.0,2
1918,0.0,1.0,1
1916,0.0,1.0,1
1915,0.0,3.0,3
1914,0.0,4.0,4
1913,0.0,1.0,1
1906,0.0,1.0,1
