year,genre_name,movie_count,avg_rating
2028,Action,1,
2028,Drama,1,
2028,Adventure,1,
2027,Animation,1,
2027,Crime,1,
2027,Comedy,1,
2026,Adventure,2,
2026,Action,1,
2026,Drama,1,
2026,Fantasy,1,
2026,Family,1,
2025,Adventure,5,
2025,Action,4,
2025,Comedy,4,
2025,Family,3,
2025,Fantasy,2,
2025,Sci-Fi,1,
2025,Animation,1,
2025,Horror,1,
2024,Adventure,11,
2024,Action,8,
2024,Animation,3,
2024,Sci-Fi,2,
2024,Comedy,2,
2024,Thriller,2,
2024,Family,2,
2024,Fantasy,1,
2024,History,1,
2023,Action,67,
2023,Drama,38,
2023,Adventure,35,
2023,Thriller,32,6.699999809265137
2023,Comedy,25,
2023,Sci-Fi,12,
2023,Horror,12,6.699999809265137
2023,Animation,11,
2023,Crime,11,
2023,Fantasy,10,
2023,Family,9,
2023,Mystery,6,6.699999809265137
2023,Romance,6,
2023,History,5,
2023,Biography,3,
2023,Sport,2,
2023,War,1,
2023,Western,1,
2023,Musical,1,
2022,Drama,479,6.654153841825632
2022,Action,352,6.127894717141202
2022,Thriller,295,5.712371116446466
2022,Comedy,277,6.382352920840768
2022,Crime,156,6.370588225476882
2022,Adventure,145,6.159210495258632
2022,Horror,135,5.105555555555555
2022,Romance,100,6.228358183334123
2022,Sci-Fi,67,5.434883713722229
2022,Mystery,59,5.919999992847442
2022,Animation,52,6.8346153772794285
2022,Family,52,6.456666648387909
2022,Fantasy,47,5.099999995792613
2022,Biography,33,6.983333322736952
2022,History,30,6.643750011920929
2022,War,19,5.463636354966597
2022,Music,16,6.566666550106472
2022,Sport,14,7.255555576748318
2022,Western,12,4.837499976158142
2022,Musical,11,6.3714286259242465
2021,Drama,476,6.02959831219647
2021,Action,327,5.346562497317791
2021,Thriller,283,5.3985815568173185
2021,Comedy,220,5.878538813220856
2021,Crime,210,5.93557691688721
2021,Horror,172,4.915697674418604
2021,Adventure,139,5.580147056018605
2021,Mystery,93,5.467741938047512
2021,Sci-Fi,88,4.77159091017463
2021,Romance,81,5.911111128183059
2021,Animation,55,6.2690909125588155
2021,Fantasy,46,5.882608701353488
2021,Biography,44,6.652272733775052
2021,Family,36,5.550000008414774
2021,History,28,6.5428571701049805
2021,Western,20,4.659999966621399
2021,Sport,17,6.294117675108068
2021,Musical,11,6.845454562794078
2021,Music,10,6.3000000476837155
2021,War,8,5.587500035762787
2020,Drama,349,5.936676227602371
2020,Comedy,218,5.672935790425047
2020,Action,199,5.115151519125158
2020,Thriller,170,5.073529437009026
2020,Horror,128,4.869531257078052
2020,Crime,127,5.592125990259365
2020,Adventure,111,5.349090905623003
2020,Romance,80,5.96202534059935
2020,Sci-Fi,71,4.678873261935275
2020,Mystery,69,5.694202903388203
2020,Fantasy,42,5.440476207506089
2020,Family,39,5.3307692515544405
2020,Animation,31,5.81290324272648
2020,Biography,24,6.425000031789144
2020,History,20,6.135000002384186
2020,War,17,5.30588234873379
2020,Music,14,6.1642857279096335
2020,Sport,11,5.80909089608626
2020,Western,6,4.950000007947286
2020,Musical,5,6.520000076293945
2019,Drama,466,5.997854074183452
2019,Action,294,5.465646247474515
2019,Comedy,225,5.821333340538873
2019,Crime,208,5.849038453056262
2019,Thriller,189,5.311640210883327
2019,Adventure,147,5.686394550362412
2019,Horror,130,5.051538478411161
2019,Mystery,92,5.715217385603034
2019,Romance,78,6.066666691731184
2019,Sci-Fi,61,5.063934421930157
2019,Biography,47,6.51063829787234
2019,Fantasy,46,5.510869606681492
2019,Animation,43,6.269767461821091
2019,History,39,6.315384601935362
2019,Family,30,5.253333361943563
2019,Music,15,6.6466666539510095
2019,War,13,5.392307739991408
2019,Western,11,5.009090900421143
2019,Sport,11,5.7272726405750625
2019,Musical,5,6.219999980926514
2018,Drama,405,6.057777767416872
2018,Action,271,5.43579334702439
2018,Comedy,204,5.849999994623895
2018,Thriller,176,5.398285702977861
2018,Crime,173,5.811627890481505
2018,Adventure,132,5.43257574691917
2018,Horror,123,4.939837403413726
2018,Mystery,76,5.461842094597063
2018,Romance,71,5.977464813581655
2018,Sci-Fi,70,5.208571406773158
2018,Fantasy,52,5.5365384587874775
2018,Biography,52,6.636538441364582
2018,Animation,34,6.044117650564979
2018,History,34,6.261764687650344
2018,Family,25,5.8759999847412105
2018,Music,16,6.487499982118607
2018,War,10,6.359999942779541
2018,Sport,9,6.5
2018,Western,6,4.366666595141093
2018,Musical,3,6.4666666984558105
2017,Drama,399,6.043718584218816
2017,Action,272,5.501838249757009
2017,Comedy,207,5.667149759721065
2017,Crime,173,5.779651180256245
2017,Thriller,165,5.413939380645752
2017,Adventure,139,5.391304338323897
2017,Horror,106,5.024761887959071
2017,Mystery,73,5.549999972184499
2017,Romance,70,5.8271428448813305
2017,Sci-Fi,56,4.864285720246179
2017,Biography,51,6.643137239942364
2017,Fantasy,50,5.608000020980835
2017,Animation,37,5.940540539251791
2017,History,26,6.4999999816601095
2017,Family,22,5.736363606019453
2017,War,18,6.166666679912144
2017,Music,16,5.812500029802322
2017,Western,7,5.38571424143655
2017,Sport,6,5.74999996026357
2017,Musical,6,6.416666666666667
2016,Drama,354,6.076271192165418
2016,Action,262,5.450191555352046
2016,Comedy,194,5.63556701252141
2016,Crime,153,5.798692821677214
2016,Thriller,143,5.423076920576029
2016,Adventure,131,5.47846151315249
2016,Horror,112,4.9401785624878745
2016,Romance,85,6.252941182080437
2016,Mystery,67,5.688059707186115
2016,Sci-Fi,56,5.137499979564121
2016,Fantasy,40,5.507692300356352
2016,Biography,40,6.920000040531159
2016,Animation,32,5.696874998509884
2016,Family,29,6.034482742178029
2016,History,22,6.4136363809758965
2016,Sport,15,6.753333314259847
2016,War,9,6.088888910081652
2016,Music,6,6.6000001430511475
2016,Western,4,5.225000023841858
2016,Musical,3,6.866666793823242
2016,Reality-TV,1,4.300000190734863
2015,Drama,298,6.05671140011525
2015,Action,203,5.45320195634964
2015,Comedy,168,5.766071418921153
2015,Crime,118,5.983898298215058
2015,Thriller,116,5.441379292257901
2015,Adventure,104,5.810576959298207
2015,Horror,89,4.9629213300983555
2015,Romance,68,5.936764668015873
2015,Sci-Fi,56,5.212500010217939
2015,Mystery,51,5.633333332398358
2015,Biography,39,6.651282078180557
2015,Fantasy,34,5.011764708687277
2015,Animation,21,6.257142850330898
2015,Family,21,5.4666666984558105
2015,History,18,6.700000074174669
2015,Music,12,5.8666666348775225
2015,War,7,5.657142775399344
2015,Sport,6,6.416666587193807
2015,Western,4,5.175000071525574
2015,Musical,4,6.25
2015,Game-Show,1,3.4000000953674316
2014,Drama,297,6.09191919818069
2014,Action,173,5.516763013222314
2014,Comedy,160,5.91437501758337
2014,Thriller,141,5.6475177166309765
