year,total_movies,avg_rating,avg_popularity
2028,1,,13.685999870300293
2027,1,,23.825000762939453
2026,2,,15.22599983215332
2025,7,,15.608857478414263
2024,12,,18.823249727487564
2023,124,6.699999809265137,161.72584021524077
2022,1090,6.151262988838718,20.21012485667106
2021,1008,5.652208836681871,15.428947406214855
2020,737,5.499182571344869,13.362663529055089
2019,874,5.688100686198787,14.113794097638513
2018,770,5.691937571229178,17.892236321854902
2017,742,5.65581080526919,17.015079562394124
2016,678,5.720974889780606,14.302676951639068
2015,556,5.736690638305472,20.774313352198053
2014,552,5.805444649040375,17.53311592578024
2013,489,5.713524589528803,15.117038896113085
2012,453,5.821412801479399,16.26907941587187
2011,416,5.920000006779131,16.91455769080382
2010,372,5.912096783358564,17.319803771472746
2009,435,5.8268965460788245,18.01704609051518
2008,397,5.877581856412911,14.35839547393304
2007,364,6.070054927042553,22.826871005715905
2006,352,6.024715916338292,16.16067900644107
2005,307,5.964052293814865,19.876693895663035
2004,312,6.055128203752713,17.78138781396242
2003,292,6.076712333584485,16.235034230228973
2002,303,6.039403969878393,18.600736002717476
2001,290,6.020344822982262,21.445151772375766
2000,261,5.894615383331592,15.087789361275933
1999,282,6.0790780199334975,17.42565254602872
1998,265,5.947169814919525,16.013528205538694
1997,285,5.896478878360399,21.27286676544892
1996,276,5.864363638270985,14.56893850452658
1995,294,5.831632656305015,12.332479567754836
1994,277,5.7812274320030905,15.49614799453033
1993,262,5.849999981982108,16.29139312487522
1992,232,5.940517236446512,12.495219789959233
1991,250,5.759200002670288,11.654072047233582
1990,239,5.754621859358139,14.43161924264421
1989,260,5.750965255567926,11.833503859776718
1988,267,5.772284646159254,12.930232276407521
1987,274,5.6699633703127015,10.658726271704166
1986,211,5.8582938406704725,11.029748799959066
1985,209,5.961244004765196,11.142617226217352
1984,183,5.861748641957351,11.567464486497347
1983,158,5.938607600670826,10.432316434157046
1982,168,6.0636904793126245,10.762583318210783
1981,177,6.022598882179476,17.145056636993495
1980,155,6.119999988617436,14.40547737613801
1979,155,5.9103896184401075,11.053651619726612
1978,141,5.963829794674055,8.874815587033616
1977,137,6.007299285735527,11.734854008594569
1976,146,5.873287674498885,9.984726090953775
1975,137,6.084671526929758,8.083481758615397
1974,155,6.092207780132046,8.79932908396567
1973,154,6.1136363651845365,8.992155817422
1972,146,6.003448270929271,8.341246600836923
1971,159,6.135220101794356,11.936786070184887
1970,117,6.123931632082686,8.042512857506418
1969,123,6.016260158724901,7.250926832358043
1968,118,6.083050859176506,8.360093199095484
1967,103,6.284466016639784,9.507902845016961
1966,122,6.25081969577758,8.453721316134343
1965,90,6.298888882001241,9.288200007544624
1964,101,6.4920000028610225,8.381722753000732
1963,76,6.343421048239658,8.293736812315489
1962,85,6.585714291958582,11.644800022069145
1961,72,6.429166667991215,9.267333298921585
1960,78,6.402564091560168,13.315282106399536
1959,93,6.214130419751872,7.497903210501517
1958,116,6.208620708564232,6.748586199920753
1957,119,6.238655434937036,6.603831919301458
1956,88,6.460227299820293,9.902374986897815
1955,115,6.439130436855813,7.694799963805987
1954,98,6.428571428571429,6.9975509801689455
1953,93,6.348387074726884,8.549376342886237
1952,75,6.5213333447774255,7.383906683127085
1951,82,6.5597560870938185,10.210853541042747
1950,76,6.80921050749327,6.480407919538648
1949,74,6.748648669268634,6.462310812763266
1948,63,6.8380952259850885,7.175492050155761
1947,71,6.8380281891621335,7.214140930645902
1946,50,6.782000036239624,7.868340048789978
1945,48,6.866666674613953,8.320020851989588
1944,44,6.80454543503848,8.137181865898045
1943,34,6.8823529552010925,11.11547073546578
1942,51,6.717647019554587,7.290039171190823
1941,54,6.987036969926622,8.551185176328376
1940,42,6.933333362851824,9.013785765284585
1939,54,6.946296312190868,8.105240768856472
1938,24,6.725000003973643,7.025166588524978
1937,41,6.478048754901421,7.452146281556385
1936,32,6.506250023841858,6.058781279250979
1935,25,6.827999992370605,4.89596001625061
1934,28,6.557142887796674,5.809750007731574
1933,24,6.604166726271312,5.831875056028366
1932,27,6.588888910081652,9.004333275335807
1931,21,6.771428607759022,6.039000017302377
1930,15,6.460000006357829,14.978866823514302
1929,9,6.5,9.583111060990227
1928,6,7.449999968210856,6.29233334461848
1927,6,7.480000114440918,10.072166661421457
1926,5,7.119999885559082,23.059999895095824
1925,4,7.574999928474426,11.449000120162964
1924,6,7.650000015894572,7.3978333075841265
1923,3,7.50000015894572,9.211333433787027
1922,1,7.900000095367432,4.913000106811523
1921,3,6.5,3.2539999882380166
1920,1,7.400000095367432,3.2690000534057617
1919,2,7.0,3.489500045776367
1918,1,5.800000190734863,4.3480000495910645
1916,1,6.099999904632568,15.946000099182129
1915,3,6.666666666666667,8.959333578745523
1914,4,6.375,3.565749913454056
1913,1,6.900000095367432,1.340999960899353
1906,1,6.0,1.8799999952316284
